instance,seed,opt.status,opt.obj,opt.nodes,opt.runtime,optimal,var.size,var.binaries,var.integers,var.continuous,constr.size,const.density,constr.empty,constr.free,constr.singleton,constr.aggregation,constr.precedence,constr.variable_bound,constr.set_partitioning,constr.set_packing,constr.set_covering,constr.binpacking,constr.knapsack,constr.integer_knapsack,constr.cardinality,constr.invariant_knapsack,constr.equation_knapsack,constr.mixed_binary,constr.general_linear
gmu-35-50,0,optimal,-2607836.5093,1040.0,2.329468011856079,-2607958.33,1919,1914,0,5,435,0.0103538,0,0,0,0,0,16,0,406,0,0,0,0,0,0,0,13,0
gr4x6,0,optimal,202.35000000000002,1.0,0.006279945373535156,202.3499999999979,48,24,0,24,34,0.0588235,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,10,0
danoint,0,optimal,65.66666666666666,439824.0,2034.7832000255585,65.6666666666,521,56,0,465,664,0.00934255,0,0,0,0,0,400,0,0,0,0,0,0,16,0,0,248,0
graphdraw-gemcutter,0,optimal,7118.5,30962.0,46.37160897254944,7118.5,166,112,16,38,474,0.0180469,0,0,0,0,0,43,28,0,0,0,0,0,0,224,0,23,156
graphdraw-domain,0,optimal,19686.0,92113.0,259.7519779205322,19685.99997550038,254,180,20,54,865,0.0118338,0,0,0,0,0,57,45,0,0,0,0,0,0,480,0,35,248
gt2,0,optimal,21166.0,1.0,0.008972883224487305,21165.99999999978,188,24,164,0,29,0.0689655,0,0,0,0,0,0,0,2,0,0,0,15,0,0,0,0,12
gsvm2rl3,0,optimal,0.3365275339619651,16956.0,22.39572501182556,0.33652753,241,60,0,181,180,0.0926694,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0,60,0
hypothyroid-k1,0,optimal,-2851.0,1.0,17.214395999908447,-2851,2602,2601,1,0,5195,0.0320982,0,0,0,2,2,0,0,0,0,2595,2592,0,0,3,0,0,1
ic97_tension,0,optimal,3942.0,5450.0,9.238785028457642,3942,703,176,4,523,319,0.00923048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,4
icir97_tension,0,optimal,6375.0,49232.0,180.371022939682,6375,2494,262,573,1659,1203,0.00744363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,573
gen-ip054,0,optimal,6840.965641792,18898820.0,1494.3399839401245,6840.96564179,30,0,30,0,27,0.65679,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26
iis-glass-cov,0,optimal,21.0,32835.0,483.6445701122284,20.99999999999999,214,214,0,0,5375,0.0488007,0,0,0,0,0,0,0,0,5375,0,0,0,0,0,0,0,0
b1c1s1,0,optimal,24544.25,83538.0,4273.289910793304,24544.25,3872,288,0,3584,3904,0.000754683,0,0,0,16,0,2560,0,0,0,0,0,0,0,0,0,1328,0
irp,0,optimal,12159.492864999998,71.0,1.8566551208496094,12159.49283539698,20315,20315,0,0,39,0.124013,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
istanbul-no-cutoff,0,optimal,204.08174924146232,143.0,41.09918999671936,204.08170701,5282,30,0,5252,20346,0.000665103,0,0,144,5,0,0,0,0,0,0,1,0,0,0,0,20196,0
k1mushroom,0,optimal,-3288.0,1.0,193.69383907318115,-3288,8211,8210,1,0,16419,0.0125945,0,0,0,0,0,0,0,0,0,8209,8123,0,0,86,0,0,1
khb05250,0,optimal,106940226.0,1.0,0.0895230770111084,106940225.9999999,1350,24,0,1326,101,0.019802,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,77,0
l2p12,0,optimal,5.0,687.0,102.16429901123047,5,11786,10906,590,290,21315,0.000237359,0,0,0,994,3463,659,125,16,0,0,0,0,3148,145,0,0,12765
lectsched-4-obj,0,optimal,4.0,1.0,0.6074168682098389,4,7901,7665,236,0,14163,0.00073661,0,0,894,2,35,60,0,0,0,0,0,1336,0,0,0,0,11836
lectsched-5-obj,0,optimal,24.0,2885.0,61.39926195144653,24,21805,21389,416,0,38884,0.000282601,0,0,1728,3,60,102,0,0,0,0,0,2358,0,0,0,0,34633
irish-electricity,0,optimal,3723497.591395974,29249.0,703.8193941116333,3723497.591396,61728,9888,0,51840,104259,8.13054e-05,0,0,16041,0,5216,20624,0,0,9114,279,0,0,4,0,0,52981,0
leo1,0,optimal,404227536.1600001,57709.0,523.0244460105896,404227536.16,6731,6730,0,1,593,0.0328745,0,0,3,0,0,26,0,408,16,0,0,0,0,0,0,140,0
leo2,0,optimal,404077441.11999995,64563.0,632.0293531417847,404077441.12,11100,11099,0,1,593,0.0334167,0,0,0,0,0,9,0,428,9,0,0,0,0,0,0,147,0
iis-hc-cov,0,optimal,17.0,99233.0,2159.2088208198547,17,297,297,0,0,9727,0.0494894,0,0,0,0,0,0,0,0,9727,0,0,0,0,0,0,0,0
manna81,0,optimal,-13164.0,1.0,0.17493391036987305,-13164,3321,18,3303,0,6480,0.000602228,0,0,0,0,0,6480,0,0,0,0,0,0,0,0,0,0,0
loopha13,0,optimal,6.402329999999997,68842.0,1050.4708111286163,6.40233,19356,18150,0,1206,23758,9.09168e-05,0,0,14060,771,991,99,0,0,0,0,0,0,0,1190,0,6647,0
cmflsp50-24-8-8,0,optimal,55789389.8863,74833.0,5433.173232078552,55789389.886,16392,1392,0,15000,3520,0.00274909,0,0,0,0,1200,50,0,0,0,0,0,0,0,0,0,2270,0
map06,0,optimal,-289.0,1844.0,317.65434193611145,-289,164547,146,0,164401,328818,1.01637e-05,0,0,118493,0,36827,164400,0,0,0,0,1,0,0,0,0,9097,0
map14860-20,0,optimal,-922.0,631.0,61.24107789993286,-922,164547,146,0,164401,328818,1.01637e-05,0,0,118493,0,36827,164400,0,0,0,0,1,0,0,0,0,9097,0
map18,0,optimal,-847.0,602.0,67.86746907234192,-847,164547,146,0,164401,328818,1.01637e-05,0,0,118493,0,36827,164400,0,0,0,0,1,0,0,0,0,9097,0
markshare_4_0,0,optimal,1.0,2930.0,0.501777172088623,1,34,30,0,4,4,0.904412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
markshare_5_0,0,optimal,1.0,29521.0,0.7710649967193604,1,45,40,0,5,5,0.902222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
map16715-04,0,optimal,-111.0,1591.0,199.8419349193573,-111,164547,146,0,164401,328818,1.01637e-05,0,0,118493,0,36827,164400,0,0,0,0,1,0,0,0,0,9097,0
map10,0,optimal,-495.0,1189.0,257.9780070781708,-495,164547,146,0,164401,328818,1.01637e-05,0,0,118493,0,36827,164400,0,0,0,0,1,0,0,0,0,9097,0
mas76,0,optimal,40005.054142,328059.0,34.897785902023315,40005.05398999999,151,150,0,1,12,0.905077,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0
mik-250-20-75-1,0,optimal,-49716.00000000003,1.0,0.21104717254638672,-49716,270,75,175,20,195,0.176068,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,75
mik-250-20-75-2,0,optimal,-50768.00000000003,1.0,0.17496299743652344,-50768.00000000001,270,75,175,20,195,0.176068,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,75
mik-250-20-75-3,0,optimal,-52242.000000000124,94.0,0.17776799201965332,-52242,270,75,175,20,195,0.176068,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,75
mik-250-20-75-4,0,optimal,-52301.0,1054.0,0.5615279674530029,-52301,270,75,175,20,195,0.176068,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,75
mik-250-20-75-5,0,optimal,-51532.0,11.0,0.25037479400634766,-51532,270,75,175,20,195,0.176068,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,75
mine-166-5,0,optimal,-566395707.8708299,678.0,2.867471933364868,-566395707.9,830,830,0,0,8429,0.0027747,0,0,0,0,8419,0,0,0,0,0,10,0,0,0,0,0,0
mine-90-10,0,optimal,-784302337.6331725,11756.0,28.517791032791138,-784302337.6332,900,900,0,0,6270,0.00273029,0,0,0,0,6250,0,0,0,0,0,20,0,0,0,0,0,0
misc07,0,optimal,2810.0,7503.0,6.614351987838745,2810,260,259,0,1,212,0.156368,0,0,0,0,0,0,7,3,127,2,0,0,27,45,0,1,0
mod010,0,optimal,6548.0,1.0,0.2223200798034668,6548,2655,2655,0,0,146,0.0289013,0,0,0,0,0,0,144,0,0,1,0,0,1,0,0,0,0
glass-sc,0,optimal,23.0,358593.0,3983.5790638923645,23,214,214,0,0,6119,0.0488123,0,0,0,0,0,0,0,0,6119,0,0,0,0,0,0,0,0
markshare1,0,optimal,1.0,9218958.0,345.90268182754517,0.9999999999990905,62,50,0,12,6,0.83871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
mzzv11,0,optimal,-21718.0,1.0,6.619334936141968,-21718,10240,9989,251,0,9499,0.00138381,0,0,0,0,0,129,1073,5755,28,0,1,0,2208,5,0,1,299
mzzv42z,0,optimal,-20540.0,1.0,5.68721604347229,-20540,11717,11482,235,0,10460,0.00123418,0,0,0,0,4,82,2157,5680,0,0,0,0,2262,0,0,0,275
n2seq36q,0,optimal,52200.0,1.0,9.676984071731567,52200,22480,22480,0,0,2565,0.00317878,0,0,0,0,0,0,0,285,1832,0,0,0,0,0,0,448,0
mas74,0,optimal,11801.185728999995,2636766.0,328.09446716308594,11801.18572,151,150,0,1,13,0.869078,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0
mushroom-best,0,optimal,0.05533376123234914,10922.0,252.22900199890137,0.0553337612,8468,8237,118,113,8580,0.00259767,0,0,0,0,0,452,0,0,0,0,0,0,0,0,0,0,8128
neos-1122047,0,optimal,161.0,1.0,6.075823068618774,161,5100,100,0,5000,57791,0.000555212,0,0,0,0,9830,0,0,0,0,0,0,0,0,0,0,47961,0
neos-1171448,0,optimal,-309.0,1.0,2.1160709857940674,-309,4914,2457,0,2457,13206,0.0020319,0,0,0,0,0,7434,0,0,0,0,0,0,0,630,0,5142,0
neos-1171737,0,optimal,-195.0,1.0,4.842037916183472,-195,2340,1170,0,1170,4179,0.00599456,0,0,0,0,0,1320,0,390,0,0,0,0,0,0,0,2469,0
